tabla_evento;columna;valor;descripcion;nota
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alterar Layout;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alterar Meio De Pagamento;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alterar Plano Pdv;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alterar Tamanhos;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alterar Textos;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alteração Concluída;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alteração De Recebedor;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alteração Negada;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alteração Nuvem Pago;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alteração Payments Apps;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Ame Digital;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Analisar Dashboard;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Analisis Risk;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Andreani;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Andreani  Nuevo ;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Andreani - Envio Nube-ar;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Andreani-ar;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Antecipação;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Antecipação De Parcelas;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Antecipação Pnf;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Antifraude;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Antifraude Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Anymarket;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Anymarket-ar;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Análise Antifraude;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Análise Clearsale;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Análise De Crédito;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Apagar Dados;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Apagar Produtos;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Api;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Api Meta;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Api Meta Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Apiecomm;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aplazo;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aplazo Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aplicativo Descontinuado;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aplicativo Privado;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aplicativos Sem Integração;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Apontamentos Dns;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Apontamentos Incorretos;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Apontamentos Subdomínio;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;App - Configuración;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;App - Configuración Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;App - Configuração;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;App - Instalación;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;App - Instalación Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;App - Instalação;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;App - Problem/issue;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;App Da Nuvemshop;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;App De Tiendanube;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;App Mercado Pago;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;App Mercado Pago Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;App No Cotiza;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;App No Cotiza Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;App Nuvem;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Appar;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Appar Plus;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Appmax;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Apps Descontinuados;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Apps No Homologadas;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Apps No Homologadas Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Apps Pgt Externo;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Apps Sin Integración;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Apps Sin Integración Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Apps Sugerencias;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Apps Sugerencias Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aprobacion De Cuenta;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aprobación De Cuenta;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aprobación De Cuenta Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Archivar Chats;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Archivar Ventas;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Archivar Ventas Lt;Subtópico normalizado;
